,Sno,Headline,Covid,Sentiment,Covid_punct,clean_covid,clean_covid_v2,clean_covid_v3,clean_covid_v4,clean_covid_v5,clean_covid_v6,covid_token,covid_token_filtered,covid_stemmed,covid_lemmatized
1764,1764,"Maharashtra BJP MLA defies lockdown, gives free ration to people on his birthday",1,0,Maharashtra BJP MLA defies lockdown gives free ration to people on his birthday,Maharashtra BJP MLA defies lockdown gives free ration to people on his birthday,Maharashtra BJP MLA defies lockdown gives free ration to people on his birthday,Maharashtra BJP MLA defies lockdown gives free ration to people on his birthday,maharashtra bjp mla defies lockdown gives free ration to people on his birthday,maharashtra bjp mla defies lockdown gives free ration to people on his birthday,maharashtra bjp mla defies lockdown gives free ration to people on his birthday,"['maharashtra', 'bjp', 'mla', 'defies', 'lockdown', 'gives', 'free', 'ration', 'to', 'people', 'on', 'his', 'birthday']","['maharashtra', 'bjp', 'mla', 'defies', 'lockdown', 'gives', 'free', 'ration', 'people', 'birthday']",maharashtra bjp mla defi lockdown give free ration peopl birthday,maharashtra bjp mla defies lockdown give free ration people birthday
1765,1765,Noida DM tells schools to not force parents to pay fees during lockdown,1,1,Noida DM tells schools to not force parents to pay fees during lockdown,Noida DM tells schools to not force parents to pay fees during lockdown,Noida DM tells schools to not force parents to pay fees during lockdown,Noida DM tells schools to not force parents to pay fees during lockdown,noida dm tells schools to not force parents to pay fees during lockdown,noida dm tells schools to not force parents to pay fees during lockdown,noida dm tells schools to not force parents to pay fees during lockdown,"['noida', 'dm', 'tells', 'schools', 'to', 'not', 'force', 'parents', 'to', 'pay', 'fees', 'during', 'lockdown']","['noida', 'dm', 'tells', 'schools', 'force', 'parents', 'pay', 'fees', 'lockdown']",noida dm tell school forc parent pay fee lockdown,noida dm tell school force parent pay fee lockdown
1766,1766,Delhi got nothing: Sisodia calls Centre's COVID-19 fund to states discriminatory,1,0,Delhi got nothing Sisodia calls Centres COVID fund to states discriminatory,Delhi got nothing Sisodia calls Centres COVID fund to states discriminatory,Delhi got nothing Sisodia calls Centres COVID fund to states discriminatory,Delhi got nothing Sisodia calls Centres COVID fund to states discriminatory,delhi got nothing sisodia calls centres covid fund to states discriminatory,delhi got nothing sisodia calls centres covid fund to states discriminatory,delhi got nothing sisodia calls centres covid fund to states discriminatory,"['delhi', 'got', 'nothing', 'sisodia', 'calls', 'centres', 'covid', 'fund', 'to', 'states', 'discriminatory']","['delhi', 'got', 'nothing', 'sisodia', 'calls', 'centres', 'covid', 'fund', 'states', 'discriminatory']",delhi got noth sisodia call centr covid fund state discriminatori,delhi got nothing sisodia call centre covid fund state discriminatory
1767,1767,TN police book YouTuber Maridhas for communal videos on COVID-19,1,0,TN police book YouTuber Maridhas for communal videos on COVID,TN police book YouTuber Maridhas for communal videos on COVID,TN police book YouTuber Maridhas for communal videos on COVID,TN police book YouTuber Maridhas for communal videos on COVID,tn police book youtuber maridhas for communal videos on covid,tn police book youtuber maridhas for communal videos on covid,tn police book youtuber maridhas for communal videos on covid,"['tn', 'police', 'book', 'youtuber', 'maridhas', 'for', 'communal', 'videos', 'on', 'covid']","['tn', 'police', 'book', 'youtuber', 'maridhas', 'communal', 'videos', 'covid']",tn polic book youtub maridha commun video covid,tn police book youtuber maridhas communal video covid
1768,1768,Andhra pastor held for hosting Mass with 150 people amid COVID-19 lockdown,1,0,Andhra pastor held for hosting Mass with  people amid COVID lockdown,Andhra pastor held for hosting Mass with  people amid COVID lockdown,Andhra pastor held for hosting Mass with  people amid COVID lockdown,Andhra pastor held for hosting Mass with  people amid COVID lockdown,andhra pastor held for hosting mass with  people amid covid lockdown,andhra pastor held for hosting mass with  people amid covid lockdown,andhra pastor held for hosting mass with  people amid covid lockdown,"['andhra', 'pastor', 'held', 'for', 'hosting', 'mass', 'with', 'people', 'amid', 'covid', 'lockdown']","['andhra', 'pastor', 'held', 'hosting', 'mass', 'people', 'amid', 'covid', 'lockdown']",andhra pastor held host mass peopl amid covid lockdown,andhra pastor held hosting mass people amid covid lockdown
1769,1769,"Rajasthan reports 54 new coronavirus cases, state total reaches 260 ",1,0,Rajasthan reports  new coronavirus cases state total reaches  ,Rajasthan reports  new coronavirus cases state total reaches  ,Rajasthan reports  new coronavirus cases state total reaches  ,Rajasthan reports  new coronavirus cases state total reaches  ,rajasthan reports  new coronavirus cases state total reaches  ,rajasthan reports  new coronavirus cases state total reaches  ,rajasthan reports  new coronavirus cases state total reaches  ,"['rajasthan', 'reports', 'new', 'coronavirus', 'cases', 'state', 'total', 'reaches']","['rajasthan', 'reports', 'new', 'coronavirus', 'cases', 'state', 'total', 'reaches']",rajasthan report new coronaviru case state total reach,rajasthan report new coronavirus case state total reach
1770,1770,Not proud of my behaviour: Nehra on abusing Dhoni during ODI against Pakistan,0,0,Not proud of my behaviour Nehra on abusing Dhoni during ODI against Pakistan,Not proud of my behaviour Nehra on abusing Dhoni during ODI against Pakistan,Not proud of my behaviour Nehra on abusing Dhoni during ODI against Pakistan,Not proud of my behaviour Nehra on abusing Dhoni during ODI against Pakistan,not proud of my behaviour nehra on abusing dhoni during odi against pakistan,not proud of my behaviour nehra on abusing dhoni during odi against pakistan,not proud of my behaviour nehra on abusing dhoni during odi against pakistan,"['not', 'proud', 'of', 'my', 'behaviour', 'nehra', 'on', 'abusing', 'dhoni', 'during', 'odi', 'against', 'pakistan']","['proud', 'behaviour', 'nehra', 'abusing', 'dhoni', 'odi', 'pakistan']",proud behaviour nehra abus dhoni odi pakistan,proud behaviour nehra abusing dhoni odi pakistan
1771,1771,"Google Maps to show public food shelters, night shelters in 31 Indian cities",1,1,Google Maps to show public food shelters night shelters in  Indian cities,Google Maps to show public food shelters night shelters in  Indian cities,Google Maps to show public food shelters night shelters in  Indian cities,Google Maps to show public food shelters night shelters in  Indian cities,google maps to show public food shelters night shelters in  indian cities,google maps to show public food shelters night shelters in  indian cities,google maps to show public food shelters night shelters in  indian cities,"['google', 'maps', 'to', 'show', 'public', 'food', 'shelters', 'night', 'shelters', 'in', 'indian', 'cities']","['google', 'maps', 'show', 'public', 'food', 'shelters', 'night', 'shelters', 'indian', 'cities']",googl map show public food shelter night shelter indian citi,google map show public food shelter night shelter indian city
1772,1772,Exclusion of AIMIM from PM Modi's COVID-19 meeting an insult: Owaisi,1,0,Exclusion of AIMIM from PM Modis COVID meeting an insult Owaisi,Exclusion of AIMIM from PM Modis COVID meeting an insult Owaisi,Exclusion of AIMIM from PM Modis COVID meeting an insult Owaisi,Exclusion of AIMIM from PM Modis COVID meeting an insult Owaisi,exclusion of aimim from pm modis covid meeting an insult owaisi,exclusion of aimim from pm modis covid meeting an insult owaisi,exclusion of aimim from pm modis covid meeting an insult owaisi,"['exclusion', 'of', 'aimim', 'from', 'pm', 'modis', 'covid', 'meeting', 'an', 'insult', 'owaisi']","['exclusion', 'aimim', 'pm', 'modis', 'covid', 'meeting', 'insult', 'owaisi']",exclus aimim pm modi covid meet insult owaisi,exclusion aimim pm modis covid meeting insult owaisi
1773,1773,Malicious OLX listing puts Statue of Unity 'for sale' for COVID-19 donations,1,0,Malicious OLX listing puts Statue of Unity for sale for COVID donations,Malicious OLX listing puts Statue of Unity for sale for COVID donations,Malicious OLX listing puts Statue of Unity for sale for COVID donations,Malicious OLX listing puts Statue of Unity for sale for COVID donations,malicious olx listing puts statue of unity for sale for covid donations,malicious olx listing puts statue of unity for sale for covid donations,malicious olx listing puts statue of unity for sale for covid donations,"['malicious', 'olx', 'listing', 'puts', 'statue', 'of', 'unity', 'for', 'sale', 'for', 'covid', 'donations']","['malicious', 'olx', 'listing', 'puts', 'statue', 'unity', 'sale', 'covid', 'donations']",malici olx list put statu uniti sale covid donat,malicious olx listing put statue unity sale covid donation
1774,1774,PM Modi's mother lights an earthen lamp at her residence at 9 pm,1,1,PM Modis mother lights an earthen lamp at her residence at  pm,PM Modis mother lights an earthen lamp at her residence at  pm,PM Modis mother lights an earthen lamp at her residence at  pm,PM Modis mother lights an earthen lamp at her residence at  pm,pm modis mother lights an earthen lamp at her residence at  pm,pm modis mother lights an earthen lamp at her residence at  pm,pm modis mother lights an earthen lamp at her residence at  pm,"['pm', 'modis', 'mother', 'lights', 'an', 'earthen', 'lamp', 'at', 'her', 'residence', 'at', 'pm']","['pm', 'modis', 'mother', 'lights', 'earthen', 'lamp', 'residence', 'pm']",pm modi mother light earthen lamp resid pm,pm modis mother light earthen lamp residence pm
1775,1775,"55 more test positive for coronavirus in Maharashtra, total rises to 690",1,0, more test positive for coronavirus in Maharashtra total rises to , more test positive for coronavirus in Maharashtra total rises to , more test positive for coronavirus in Maharashtra total rises to , more test positive for coronavirus in Maharashtra total rises to , more test positive for coronavirus in maharashtra total rises to , more test positive for coronavirus in maharashtra total rises to , more test positive for coronavirus in maharashtra total rises to ,"['more', 'test', 'positive', 'for', 'coronavirus', 'in', 'maharashtra', 'total', 'rises', 'to']","['test', 'positive', 'coronavirus', 'maharashtra', 'total', 'rises']",test posit coronaviru maharashtra total rise,test positive coronavirus maharashtra total rise
1776,1776,"472 new coronavirus cases, 11 deaths reported in India in last 24 hours: Govt",1,0, new coronavirus cases  deaths reported in India in last  hours Govt, new coronavirus cases  deaths reported in India in last  hours Govt, new coronavirus cases  deaths reported in India in last  hours Govt, new coronavirus cases  deaths reported in India in last  hours Govt, new coronavirus cases  deaths reported in india in last  hours govt, new coronavirus cases  deaths reported in india in last  hours govt, new coronavirus cases  deaths reported in india in last  hours govt,"['new', 'coronavirus', 'cases', 'deaths', 'reported', 'in', 'india', 'in', 'last', 'hours', 'govt']","['new', 'coronavirus', 'cases', 'deaths', 'reported', 'india', 'last', 'hours', 'govt']",new coronaviru case death report india last hour govt,new coronavirus case death reported india last hour govt
1777,1777,"Noida Police revises order, Section 144 to be extended in district till April 14",1,0,Noida Police revises order Section  to be extended in district till April ,Noida Police revises order Section  to be extended in district till April ,Noida Police revises order Section  to be extended in district till April ,Noida Police revises order Section  to be extended in district till April ,noida police revises order section  to be extended in district till april ,noida police revises order section  to be extended in district till april ,noida police revises order section  to be extended in district till april ,"['noida', 'police', 'revises', 'order', 'section', 'to', 'be', 'extended', 'in', 'district', 'till', 'april']","['noida', 'police', 'revises', 'order', 'section', 'extended', 'district', 'till', 'april']",noida polic revis order section extend district till april,noida police revise order section extended district till april
1778,1778,"COVID-19 doubling rate 4.1 days, would've been 7.4 if not for Nizamuddin event: Govt",1,0,COVID doubling rate  days wouldve been  if not for Nizamuddin event Govt,COVID doubling rate  days wouldve been  if not for Nizamuddin event Govt,COVID doubling rate  days wouldve been  if not for Nizamuddin event Govt,COVID doubling rate  days wouldve been  if not for Nizamuddin event Govt,covid doubling rate  days wouldve been  if not for nizamuddin event govt,covid doubling rate  days wouldve been  if not for nizamuddin event govt,covid doubling rate  days wouldve been  if not for nizamuddin event govt,"['covid', 'doubling', 'rate', 'days', 'wouldve', 'been', 'if', 'not', 'for', 'nizamuddin', 'event', 'govt']","['covid', 'doubling', 'rate', 'days', 'wouldve', 'nizamuddin', 'event', 'govt']",covid doubl rate day wouldv nizamuddin event govt,covid doubling rate day wouldve nizamuddin event govt
1779,1779,"2 patients in Chennai hospital die of COVID-19, death toll rises to 5 in Tamil Nadu",1,0, patients in Chennai hospital die of COVID death toll rises to  in Tamil Nadu, patients in Chennai hospital die of COVID death toll rises to  in Tamil Nadu, patients in Chennai hospital die of COVID death toll rises to  in Tamil Nadu, patients in Chennai hospital die of COVID death toll rises to  in Tamil Nadu, patients in chennai hospital die of covid death toll rises to  in tamil nadu, patients in chennai hospital die of covid death toll rises to  in tamil nadu, patients in chennai hospital die of covid death toll rises to  in tamil nadu,"['patients', 'in', 'chennai', 'hospital', 'die', 'of', 'covid', 'death', 'toll', 'rises', 'to', 'in', 'tamil', 'nadu']","['patients', 'chennai', 'hospital', 'die', 'covid', 'death', 'toll', 'rises', 'tamil', 'nadu']",patient chennai hospit die covid death toll rise tamil nadu,patient chennai hospital die covid death toll rise tamil nadu
1780,1780,"Reopening of schools, colleges after April 14 depends on COVID-19 situation: Govt",1,0,Reopening of schools colleges after April  depends on COVID situation Govt,Reopening of schools colleges after April  depends on COVID situation Govt,Reopening of schools colleges after April  depends on COVID situation Govt,Reopening of schools colleges after April  depends on COVID situation Govt,reopening of schools colleges after april  depends on covid situation govt,reopening of schools colleges after april  depends on covid situation govt,reopening of schools colleges after april  depends on covid situation govt,"['reopening', 'of', 'schools', 'colleges', 'after', 'april', 'depends', 'on', 'covid', 'situation', 'govt']","['reopening', 'schools', 'colleges', 'april', 'depends', 'covid', 'situation', 'govt']",reopen school colleg april depend covid situat govt,reopening school college april depends covid situation govt
1781,1781,"DRDO develops disinfection chambers, face shields for COVID-19 medical staff",1,1,DRDO develops disinfection chambers face shields for COVID medical staff,DRDO develops disinfection chambers face shields for COVID medical staff,DRDO develops disinfection chambers face shields for COVID medical staff,DRDO develops disinfection chambers face shields for COVID medical staff,drdo develops disinfection chambers face shields for covid medical staff,drdo develops disinfection chambers face shields for covid medical staff,drdo develops disinfection chambers face shields for covid medical staff,"['drdo', 'develops', 'disinfection', 'chambers', 'face', 'shields', 'for', 'covid', 'medical', 'staff']","['drdo', 'develops', 'disinfection', 'chambers', 'face', 'shields', 'covid', 'medical', 'staff']",drdo develop disinfect chamber face shield covid medic staff,drdo develops disinfection chamber face shield covid medical staff
1782,1782,CRPF DG self-quarantines after doctor of his force tests COVID-19 +ve,1,0,CRPF DG selfquarantines after doctor of his force tests COVID ve,CRPF DG selfquarantines after doctor of his force tests COVID ve,CRPF DG selfquarantines after doctor of his force tests COVID ve,CRPF DG selfquarantines after doctor of his force tests COVID ve,crpf dg selfquarantines after doctor of his force tests covid ve,crpf dg selfquarantines after doctor of his force tests covid ve,crpf dg selfquarantines after doctor of his force tests covid ve,"['crpf', 'dg', 'selfquarantines', 'after', 'doctor', 'of', 'his', 'force', 'tests', 'covid', 've']","['crpf', 'dg', 'selfquarantines', 'doctor', 'force', 'tests', 'covid']",crpf dg selfquarantin doctor forc test covid,crpf dg selfquarantines doctor force test covid
1783,1783,There's no evidence of coronavirus being airborne yet: ICMR,1,1,Theres no evidence of coronavirus being airborne yet ICMR,Theres no evidence of coronavirus being airborne yet ICMR,Theres no evidence of coronavirus being airborne yet ICMR,Theres no evidence of coronavirus being airborne yet ICMR,theres no evidence of coronavirus being airborne yet icmr,theres no evidence of coronavirus being airborne yet icmr,theres no evidence of coronavirus being airborne yet icmr,"['theres', 'no', 'evidence', 'of', 'coronavirus', 'being', 'airborne', 'yet', 'icmr']","['theres', 'evidence', 'coronavirus', 'airborne', 'yet', 'icmr']",there evid coronaviru airborn yet icmr,there evidence coronavirus airborne yet icmr
1784,1784,6 Kanpur areas visited by COVID-19 +ve Tablighi members marked 'red zones',1,0, Kanpur areas visited by COVID ve Tablighi members marked red zones, Kanpur areas visited by COVID ve Tablighi members marked red zones, Kanpur areas visited by COVID ve Tablighi members marked red zones, Kanpur areas visited by COVID ve Tablighi members marked red zones, kanpur areas visited by covid ve tablighi members marked red zones, kanpur areas visited by covid ve tablighi members marked red zones, kanpur areas visited by covid ve tablighi members marked red zones,"['kanpur', 'areas', 'visited', 'by', 'covid', 've', 'tablighi', 'members', 'marked', 'red', 'zones']","['kanpur', 'areas', 'visited', 'covid', 'tablighi', 'members', 'marked', 'red', 'zones']",kanpur area visit covid tablighi member mark red zone,kanpur area visited covid tablighi member marked red zone
1785,1785,Kerala govt ropes in post offices to home deliver cash amid lockdown,1,1,Kerala govt ropes in post offices to home deliver cash amid lockdown,Kerala govt ropes in post offices to home deliver cash amid lockdown,Kerala govt ropes in post offices to home deliver cash amid lockdown,Kerala govt ropes in post offices to home deliver cash amid lockdown,kerala govt ropes in post offices to home deliver cash amid lockdown,kerala govt ropes in post offices to home deliver cash amid lockdown,kerala govt ropes in post offices to home deliver cash amid lockdown,"['kerala', 'govt', 'ropes', 'in', 'post', 'offices', 'to', 'home', 'deliver', 'cash', 'amid', 'lockdown']","['kerala', 'govt', 'ropes', 'post', 'offices', 'home', 'deliver', 'cash', 'amid', 'lockdown']",kerala govt rope post offic home deliv cash amid lockdown,kerala govt rope post office home deliver cash amid lockdown
1786,1786,Bengaluru's air quality has improved due to lockdown: K'taka Pollution Control Board,1,1,Bengalurus air quality has improved due to lockdown Ktaka Pollution Control Board,Bengalurus air quality has improved due to lockdown Ktaka Pollution Control Board,Bengalurus air quality has improved due to lockdown Ktaka Pollution Control Board,Bengalurus air quality has improved due to lockdown Ktaka Pollution Control Board,bengalurus air quality has improved due to lockdown ktaka pollution control board,bengalurus air quality has improved due to lockdown ktaka pollution control board,bengalurus air quality has improved due to lockdown ktaka pollution control board,"['bengalurus', 'air', 'quality', 'has', 'improved', 'due', 'to', 'lockdown', 'ktaka', 'pollution', 'control', 'board']","['bengalurus', 'air', 'quality', 'improved', 'due', 'lockdown', 'ktaka', 'pollution', 'control', 'board']",bengaluru air qualiti improv due lockdown ktaka pollut control board,bengalurus air quality improved due lockdown ktaka pollution control board
1787,1787,"Won't spare those spreading fake news, communal messages on virus: Uddhav",1,0,Wont spare those spreading fake news communal messages on virus Uddhav,Wont spare those spreading fake news communal messages on virus Uddhav,Wont spare those spreading fake news communal messages on virus Uddhav,Wont spare those spreading fake news communal messages on virus Uddhav,wont spare those spreading fake news communal messages on virus uddhav,wont spare those spreading fake news communal messages on virus uddhav,wont spare those spreading fake news communal messages on virus uddhav,"['wont', 'spare', 'those', 'spreading', 'fake', 'news', 'communal', 'messages', 'on', 'virus', 'uddhav']","['wont', 'spare', 'spreading', 'fake', 'news', 'communal', 'messages', 'virus', 'uddhav']",wont spare spread fake news commun messag viru uddhav,wont spare spreading fake news communal message virus uddhav
1788,1788,3 IAF personnel quarantined as 1 of them visited Nizamuddin in March: Report,1,0, IAF personnel quarantined as  of them visited Nizamuddin in March Report, IAF personnel quarantined as  of them visited Nizamuddin in March Report, IAF personnel quarantined as  of them visited Nizamuddin in March Report, IAF personnel quarantined as  of them visited Nizamuddin in March Report, iaf personnel quarantined as  of them visited nizamuddin in march report, iaf personnel quarantined as  of them visited nizamuddin in march report, iaf personnel quarantined as  of them visited nizamuddin in march report,"['iaf', 'personnel', 'quarantined', 'as', 'of', 'them', 'visited', 'nizamuddin', 'in', 'march', 'report']","['iaf', 'personnel', 'quarantined', 'visited', 'nizamuddin', 'march', 'report']",iaf personnel quarantin visit nizamuddin march report,iaf personnel quarantined visited nizamuddin march report
1789,1789,274 districts across India have been affected due to coronavirus till date: Govt,1,0, districts across India have been affected due to coronavirus till date Govt, districts across India have been affected due to coronavirus till date Govt, districts across India have been affected due to coronavirus till date Govt, districts across India have been affected due to coronavirus till date Govt, districts across india have been affected due to coronavirus till date govt, districts across india have been affected due to coronavirus till date govt, districts across india have been affected due to coronavirus till date govt,"['districts', 'across', 'india', 'have', 'been', 'affected', 'due', 'to', 'coronavirus', 'till', 'date', 'govt']","['districts', 'across', 'india', 'affected', 'due', 'coronavirus', 'till', 'date', 'govt']",district across india affect due coronaviru till date govt,district across india affected due coronavirus till date govt
1790,1790,"Miscreant breaks into wine shop in Hyderabad, steals liquor worth ₹25,000",1,0,Miscreant breaks into wine shop in Hyderabad steals liquor worth ₹,Miscreant breaks into wine shop in Hyderabad steals liquor worth ₹,Miscreant breaks into wine shop in Hyderabad steals liquor worth ₹,Miscreant breaks into wine shop in Hyderabad steals liquor worth ₹,miscreant breaks into wine shop in hyderabad steals liquor worth ₹,miscreant breaks into wine shop in hyderabad steals liquor worth  ,miscreant breaks into wine shop in hyderabad steals liquor worth  ,"['miscreant', 'breaks', 'into', 'wine', 'shop', 'in', 'hyderabad', 'steals', 'liquor', 'worth']","['miscreant', 'breaks', 'wine', 'shop', 'hyderabad', 'steals', 'liquor', 'worth']",miscreant break wine shop hyderabad steal liquor worth,miscreant break wine shop hyderabad steal liquor worth
1791,1791,CM Yogi announces 'UP COVID Care Fund' to strengthen state health services,1,1,CM Yogi announces UP COVID Care Fund to strengthen state health services,CM Yogi announces UP COVID Care Fund to strengthen state health services,CM Yogi announces UP COVID Care Fund to strengthen state health services,CM Yogi announces UP COVID Care Fund to strengthen state health services,cm yogi announces up covid care fund to strengthen state health services,cm yogi announces up covid care fund to strengthen state health services,cm yogi announces up covid care fund to strengthen state health services,"['cm', 'yogi', 'announces', 'up', 'covid', 'care', 'fund', 'to', 'strengthen', 'state', 'health', 'services']","['cm', 'yogi', 'announces', 'covid', 'care', 'fund', 'strengthen', 'state', 'health', 'services']",cm yogi announc covid care fund strengthen state health servic,cm yogi announces covid care fund strengthen state health service
1792,1792,Lokpal member tests positive for COVID-19,1,0,Lokpal member tests positive for COVID,Lokpal member tests positive for COVID,Lokpal member tests positive for COVID,Lokpal member tests positive for COVID,lokpal member tests positive for covid,lokpal member tests positive for covid,lokpal member tests positive for covid,"['lokpal', 'member', 'tests', 'positive', 'for', 'covid']","['lokpal', 'member', 'tests', 'positive', 'covid']",lokpal member test posit covid,lokpal member test positive covid
1793,1793,8 Malaysian citizens who attended Tablighi Jamaat event caught at IGI airport,1,0, Malaysian citizens who attended Tablighi Jamaat event caught at IGI airport, Malaysian citizens who attended Tablighi Jamaat event caught at IGI airport, Malaysian citizens who attended Tablighi Jamaat event caught at IGI airport, Malaysian citizens who attended Tablighi Jamaat event caught at IGI airport, malaysian citizens who attended tablighi jamaat event caught at igi airport, malaysian citizens who attended tablighi jamaat event caught at igi airport, malaysian citizens who attended tablighi jamaat event caught at igi airport,"['malaysian', 'citizens', 'who', 'attended', 'tablighi', 'jamaat', 'event', 'caught', 'at', 'igi', 'airport']","['malaysian', 'citizens', 'attended', 'tablighi', 'jamaat', 'event', 'caught', 'igi', 'airport']",malaysian citizen attend tablighi jamaat event caught igi airport,malaysian citizen attended tablighi jamaat event caught igi airport
1794,1794,ICMR issues advisory on setting up new COVID-19 testing labs in districts,1,0,ICMR issues advisory on setting up new COVID testing labs in districts,ICMR issues advisory on setting up new COVID testing labs in districts,ICMR issues advisory on setting up new COVID testing labs in districts,ICMR issues advisory on setting up new COVID testing labs in districts,icmr issues advisory on setting up new covid testing labs in districts,icmr issues advisory on setting up new covid testing labs in districts,icmr issues advisory on setting up new covid testing labs in districts,"['icmr', 'issues', 'advisory', 'on', 'setting', 'up', 'new', 'covid', 'testing', 'labs', 'in', 'districts']","['icmr', 'issues', 'advisory', 'setting', 'new', 'covid', 'testing', 'labs', 'districts']",icmr issu advisori set new covid test lab district,icmr issue advisory setting new covid testing lab district
1795,1795,"Villagers in West Bengal clash over setting up of quarantine centre, 1 killed",1,0,Villagers in West Bengal clash over setting up of quarantine centre  killed,Villagers in West Bengal clash over setting up of quarantine centre  killed,Villagers in West Bengal clash over setting up of quarantine centre  killed,Villagers in West Bengal clash over setting up of quarantine centre  killed,villagers in west bengal clash over setting up of quarantine centre  killed,villagers in west bengal clash over setting up of quarantine centre  killed,villagers in west bengal clash over setting up of quarantine centre  killed,"['villagers', 'in', 'west', 'bengal', 'clash', 'over', 'setting', 'up', 'of', 'quarantine', 'centre', 'killed']","['villagers', 'west', 'bengal', 'clash', 'setting', 'quarantine', 'centre', 'killed']",villag west bengal clash set quarantin centr kill,villager west bengal clash setting quarantine centre killed
1796,1796,PM made mistake by announcing lockdown without telling states: Veerappa Moily,1,0,PM made mistake by announcing lockdown without telling states Veerappa Moily,PM made mistake by announcing lockdown without telling states Veerappa Moily,PM made mistake by announcing lockdown without telling states Veerappa Moily,PM made mistake by announcing lockdown without telling states Veerappa Moily,pm made mistake by announcing lockdown without telling states veerappa moily,pm made mistake by announcing lockdown without telling states veerappa moily,pm made mistake by announcing lockdown without telling states veerappa moily,"['pm', 'made', 'mistake', 'by', 'announcing', 'lockdown', 'without', 'telling', 'states', 'veerappa', 'moily']","['pm', 'made', 'mistake', 'announcing', 'lockdown', 'without', 'telling', 'states', 'veerappa', 'moily']",pm made mistak announc lockdown without tell state veerappa moili,pm made mistake announcing lockdown without telling state veerappa moily
1797,1797,Ganga water quality improves by 40-50% amid lockdown: IIT (BHU) professor,1,1,Ganga water quality improves by  amid lockdown IIT BHU professor,Ganga water quality improves by  amid lockdown IIT BHU professor,Ganga water quality improves by  amid lockdown IIT BHU professor,Ganga water quality improves by  amid lockdown IIT BHU professor,ganga water quality improves by  amid lockdown iit bhu professor,ganga water quality improves by  amid lockdown iit bhu professor,ganga water quality improves by  amid lockdown iit bhu professor,"['ganga', 'water', 'quality', 'improves', 'by', 'amid', 'lockdown', 'iit', 'bhu', 'professor']","['ganga', 'water', 'quality', 'improves', 'amid', 'lockdown', 'iit', 'bhu', 'professor']",ganga water qualiti improv amid lockdown iit bhu professor,ganga water quality improves amid lockdown iit bhu professor
1798,1798,19-yr-old man arrested for rape and murder of 8-yr-old cousin in Noida,0,0,yrold man arrested for rape and murder of yrold cousin in Noida,yrold man arrested for rape and murder of yrold cousin in Noida,yrold man arrested for rape and murder of yrold cousin in Noida,yrold man arrested for rape and murder of yrold cousin in Noida,yrold man arrested for rape and murder of yrold cousin in noida,yrold man arrested for rape and murder of yrold cousin in noida,yrold man arrested for rape and murder of yrold cousin in noida,"['yrold', 'man', 'arrested', 'for', 'rape', 'and', 'murder', 'of', 'yrold', 'cousin', 'in', 'noida']","['yrold', 'man', 'arrested', 'rape', 'murder', 'yrold', 'cousin', 'noida']",yrold man arrest rape murder yrold cousin noida,yrold man arrested rape murder yrold cousin noida
1799,1799,Pregnant Muslim woman loses child in Rajasthan as docs allegedly refuse treatment,1,0,Pregnant Muslim woman loses child in Rajasthan as docs allegedly refuse treatment,Pregnant Muslim woman loses child in Rajasthan as docs allegedly refuse treatment,Pregnant Muslim woman loses child in Rajasthan as docs allegedly refuse treatment,Pregnant Muslim woman loses child in Rajasthan as docs allegedly refuse treatment,pregnant muslim woman loses child in rajasthan as docs allegedly refuse treatment,pregnant muslim woman loses child in rajasthan as docs allegedly refuse treatment,pregnant muslim woman loses child in rajasthan as docs allegedly refuse treatment,"['pregnant', 'muslim', 'woman', 'loses', 'child', 'in', 'rajasthan', 'as', 'docs', 'allegedly', 'refuse', 'treatment']","['pregnant', 'muslim', 'woman', 'loses', 'child', 'rajasthan', 'docs', 'allegedly', 'refuse', 'treatment']",pregnant muslim woman lose child rajasthan doc allegedli refus treatment,pregnant muslim woman loses child rajasthan doc allegedly refuse treatment
1800,1800,"More than actors, politicians need to be role models: Arshad",1,0,More than actors politicians need to be role models Arshad,More than actors politicians need to be role models Arshad,More than actors politicians need to be role models Arshad,More than actors politicians need to be role models Arshad,more than actors politicians need to be role models arshad,more than actors politicians need to be role models arshad,more than actors politicians need to be role models arshad,"['more', 'than', 'actors', 'politicians', 'need', 'to', 'be', 'role', 'models', 'arshad']","['actors', 'politicians', 'need', 'role', 'models', 'arshad']",actor politician need role model arshad,actor politician need role model arshad
1801,1801,South African cleric who attended Nizamuddin Markaz dies of COVID-19,1,0,South African cleric who attended Nizamuddin Markaz dies of COVID,South African cleric who attended Nizamuddin Markaz dies of COVID,South African cleric who attended Nizamuddin Markaz dies of COVID,South African cleric who attended Nizamuddin Markaz dies of COVID,south african cleric who attended nizamuddin markaz dies of covid,south african cleric who attended nizamuddin markaz dies of covid,south african cleric who attended nizamuddin markaz dies of covid,"['south', 'african', 'cleric', 'who', 'attended', 'nizamuddin', 'markaz', 'dies', 'of', 'covid']","['south', 'african', 'cleric', 'attended', 'nizamuddin', 'markaz', 'dies', 'covid']",south african cleric attend nizamuddin markaz die covid,south african cleric attended nizamuddin markaz dy covid
